COD_INE	ID_REL	COD_GEO	COD_PROV	PROVINCIA	NOMBRE_ACTUAL	POBLACION_MUNI	SUPERFICIE	PERIMETRO	COD_INE_CAPITAL	CAPITAL	POBLACION_CAPITAL	HOJA_MTN25_ETRS89	LONGITUD_ETRS89	LATITUD_ETRS89	ORIGENCOOR	ALTITUD	ORIGENALTITUD
01001000000	1010014	01010	01	Araba/Álava	Alegría-Dulantzi	2876	1994.5872	35069	01001000101	Alegría-Dulantzi	2767	0113-3	-2.51243731	42.83981158	Mapa	568	MDT5
01002000000	1010029	01020	01	Araba/Álava	Amurrio	10350	9635.289	65134	01002000201	Amurrio	9263	0086-4	-3.00007326	43.05427776	Mapa	219	MDT5
01003000000	1010035	01030	01	Araba/Álava	Aramaio	1467	7325.84	41775	01003000601	Ibarra	799	0087-4	-2.56540037	43.05119653	Mapa	333	MDT5
01004000000	1010040	01040	01	Araba/Álava	Artziniega	1821	2728.73	22886	01004000101	Artziniega	1695	0086-1	-3.12791718	43.12084358	Mapa	210	MDT5
01006000000	1010066	01060	01	Araba/Álava	Armiñón	227	1294.4326	24606	01006000101	Armiñón	106	0137-4	-2.87183475	42.72326199	Mapa	467	MDT5
01008000000	1010088	01080	01	Araba/Álava	Arratzua-Ubarrundia	980	5755.98	67101	01008000501	Durana	341	0112-4	-2.63878816	42.89116171	Mapa	528	MDT5
01009000000	1010091	01090	01	Araba/Álava	Asparrena	1614	6533.64	53712	01009000401	Araia	1234	0113-4	-2.31670754	42.88968768	Mapa	602	MDT5
01010000000	1010105	01100	01	Araba/Álava	Ayala/Aiara	2974	14074.15	64072	01010002001	Arespalditza/Respaldiza	429	0086-3	-3.04306746	43.07768283	Mapa	306	MDT5
01011000000	1010112	01110	01	Araba/Álava	Baños de Ebro/Mañueta	291	945.9752	18610	01011000101	Baños de Ebro/Mañueta	291	0170-4	-2.67863583	42.52925602	Mapa	421	MDT5
01013000000	1010133	01130	01	Araba/Álava	Barrundia	883	9742.34	57432	01013001401	Ozaeta	196	0113-3	-2.49407452	42.91537538	Mapa	575	MDT5
01014000000	1010148	01140	01	Araba/Álava	Berantevilla	453	3573.0031	38711	01014000101	Berantevilla	305	0137-4	-2.85971414	42.68227191	Mapa	471	MDT5
01016000000	1010164	01160	01	Araba/Álava	Bernedo	494	13044.2902	85973	01016000301	Bernedo	163	0171-1	-2.49825439	42.62676989	Mapa	710	MDT5
01017000000	1010170	01170	01	Araba/Álava	Campezo/Kanpezu	1040	8536.0875	53461	01017000501	Santa Cruz de Campezo/Santikurutze Kanpezu	775	0139-4	-2.35207693	42.66971209	Mapa	578	MDT5
01018000000	1010186	01180	01	Araba/Álava	Zigoitia	1747	10206.9376	48596	01018000901	Gopegi	263	0112-1	-2.73033002	42.96210609	Mapa	585	MDT5
01019000000	1010199	01190	01	Araba/Álava	Kripan	180	1251.599	15980	01019000101	Kripan	180	0171-1	-2.51621636	42.59082439	Mapa	691	MDT5
01020000000	1010203	01200	01	Araba/Álava	Kuartango	376	8403.4771	44173	01020002001	Zuhatzu Kuartango	151	0111-4	-2.88438243	42.87006411	Mapa	594	MDT5
01021000000	1010210	01210	01	Araba/Álava	Elburgo/Burgelu	599	3209.3031	58514	01021000401	Elburgo/Burgelu	165	0112-4	-2.545933	42.850282	Investigación	540	Investigación
01022000000	1010225	01220	01	Araba/Álava	Elciego	1005	1632.3129	21825	01022000101	Elciego	1005	0170-4	-2.61723872	42.51420738	Mapa	451	MDT5
01023000000	1010231	01230	01	Araba/Álava	Elvillar/Bilar	333	1750.2228	21190	01023000101	Elvillar/Bilar	333	0170-4	-2.54441267	42.56842577	Mapa	581	MDT5
01027000000	1010278	01250	01	Araba/Álava	Iruraiz-Gauna	517	4712.8628	81139	01027000101	Azilu	27	0139-1	-2.475996232	42.83131017	Investigación	627	Investigación
01028000000	1010284	01260	01	Araba/Álava	Labastida/Bastida	1452	3816.9756	35481	01028000103	Labastida/Bastida	1264	0170-1	-2.793199	42.590217	Investigación	555	Investigación
01030000000	1010301	01280	01	Araba/Álava	Lagrán	157	4562.02	34064	01030000101	Lagran	95	0170-2	-2.58423377	42.62621464	Mapa	751	MDT5
01031000000	1010318	01290	01	Araba/Álava	Laguardia	1494	8097.11	84431	01031000202	Laguardia/Biasteri	1337	0170-4	-2.58411693	42.55236655	Mapa	630	MDT5
01032000000	1010323	01300	01	Araba/Álava	Lanciego/Lantziego	691	2425.3	26407	01032000201	Lanciego/Lantziego	616	0171-3	-2.51278162	42.5624416	Mapa	542	MDT5
01033000000	1010339	01310	01	Araba/Álava	Lapuebla de Labarca	865	598.7767	12420	01033000101	Lapuebla de Labarca	865	0203-2	-2.57209001	42.49441468	Mapa	431	MDT5
01034000000	1010344	01320	01	Araba/Álava	Leza	203	992.2543	14579	01034000101	Leza	169	0170-4	-2.63459428	42.56469687	Mapa	569	MDT5
01036000000	1010360	01340	01	Araba/Álava	Laudio/Llodio	18102	3756	27576	01036000101	Laudio/Llodio	18102	0086-2	-2.96256495	43.1425188	Mapa	123	MDT5
01037000000	1010376	01350	01	Araba/Álava	Arraia-Maeztu	726	12310.7942	59163	01037001001	Maeztu/Maestu	328	0139-3	-2.444299	42.738527	Investigación	649	Investigación
01039000000	1010395	01360	01	Araba/Álava	Moreda de Álava/Moreda Araba	221	867.1106	12022	01039000101	Moreda de Álava/Moreda Araba	221	0171-3	-2.40841718	42.52479167	Mapa	461	MDT5
01041000000	1010416	01380	01	Araba/Álava	Navaridas	200	891.6398	11775	01041000101	Navaridas	200	0170-4	-2.62479544	42.5450594	Mapa	535	MDT5
