atlas	id	poblacion	latitud	longitud	provincia	CCAA
ADIM	M1	Mangirón	40.9640834	-3.587009	Madrid	Madrid
ADIM	M2	Buitrago de Lozoya	40.9872881	-3.646177	Madrid	Madrid
ADIM	M3	Lozoya	40.9555018	-3.7992945	Madrid	Madrid
ADIM	M4	Patones	40.8546382	-3.4893056	Madrid	Madrid
ADIM	M5	Navacerrada	40.7264461	-4.0219211	Madrid	Madrid
ADIM	M6	El Boalo	40.7172165	-3.9199126	Madrid	Madrid
ADIM	M7	Alalpardo	40.6281985	-3.4807234	Madrid	Madrid
ADIM	M8	Meco	40.5512194	-3.3380198	Madrid	Madrid
ADIM	M9	Santa María de la Alameda	40.5978246	-4.2629201	Madrid	Madrid
ADIM	M10	Valdemorillo	40.4864998	-4.0912238	Madrid	Madrid
ADIM	M11	Robledo de Chavela	40.5019548	-4.2438566	Madrid	Madrid
ADIM	M12	San Martín de Valdeiglesias	40.3646549	-4.4098873	Madrid	Madrid
ADIM	M13	Carabaña	40.2577142	-3.2463598	Madrid	Madrid
ADIM	M14	Cenicientos	40.2632617	-4.4704822	Madrid	Madrid
ADIM	M15	Cubas de la Sagra	40.1933471	-3.8453605	Madrid	Madrid
ADIM	M16	Colmenar de Oreja	40.1089848	-3.3934674	Madrid	Madrid
ALCLM	AB103	La Roda	39.0013	-1.868604	Albacete	Castilla La Mancha
ALCLM	AB206	Balsa de Ves	39.26442	-1.195344	Albacete	Castilla La Mancha
ALCLM	AB207	Villamalea	39.36189	-1.599296	Albacete	Castilla La Mancha
ALCLM	AB208	Alcalá del Júcar	39.19346	-1.429671	Albacete	Castilla La Mancha
ALCLM	AB209	Navas de Jorquera	39.28074	-1.71904	Albacete	Castilla La Mancha
ALCLM	AB210	Carcelén	39.10189	-1.308891	Albacete	Castilla La Mancha
ALCLM	AB211	Motilleja	39.1806	-1.791874	Albacete	Castilla La Mancha
ALCLM	AB213	Casas de Juan Núñez	39.10187	-1.557571	Albacete	Castilla La Mancha
ALCLM	AB304	Albacete	38.99765	-1.86007	Albacete	Castilla La Mancha
ALCLM	AB306	Balazote	38.88408	-2.150826	Albacete	Castilla La Mancha
ALCLM	AB307	El Bonillo	38.95073	-2.539598	Albacete	Castilla La Mancha
ALCLM	AB308	Masegoso	38.71841	-2.315899	Albacete	Castilla La Mancha
ALCLM	AB309	Alcaraz	38.66966	-2.492647	Albacete	Castilla La Mancha
ALCLM	AB310	Pozohondo	38.72114	-1.911805	Albacete	Castilla La Mancha
ALCLM	AB311	Salobre	38.59158	-2.551266	Albacete	Castilla La Mancha
ALCLM	AB312	Paterna del Madera	38.59725	-2.346145	Albacete	Castilla La Mancha
ALCLM	AB404	Higueruela	38.96424	-1.445101	Albacete	Castilla La Mancha
ALCLM	AB405	Chinchilla de Monte-Aragón	38.91862	-1.722758	Albacete	Castilla La Mancha
ALCLM	AB406	Almansa	38.86941	-1.097517	Albacete	Castilla La Mancha
ALCLM	AB407	Corral-Rubio	38.83509	-1.460988	Albacete	Castilla La Mancha
ALCLM	AB409	Tobarra	38.58844	-1.693783	Albacete	Castilla La Mancha
ALCLM	AB503	Molinicos	38.46796	-2.237843	Albacete	Castilla La Mancha
ALCLM	AB504	Letur	38.36555	-2.101964	Albacete	Castilla La Mancha
ALCLM	AB505	Villaverde de Guadalimar	38.4555	-2.517869	Albacete	Castilla La Mancha
ALCLM	AB600	Hellín	38.51216	-1.70331	Albacete	Castilla La Mancha
ALCLM	CR101	Anchuras	39.48024	-4.835894	Ciudad Real	Castilla La Mancha
ALCLM	CR102	Retuerta del Bullaque	39.4612	-4.409563	Ciudad Real	Castilla La Mancha
ALCLM	CR103	Navalpino	39.22503	-4.591662	Ciudad Real	Castilla La Mancha
ALCLM	CR104	Malagón	39.17159	-3.854879	Ciudad Real	Castilla La Mancha
ALCLM	CR202	Tomelloso	39.15775	-3.020807	Ciudad Real	Castilla La Mancha
ALCLM	CR203	Herencia	39.36691	-3.354991	Ciudad Real	Castilla La Mancha
ALCLM	CR302	Ciudad Real	38.9861	-3.927263	Ciudad Real	Castilla La Mancha
ALCLM	CR305	Luciana	38.98382	-4.292852	Ciudad Real	Castilla La Mancha
ALCLM	CR306	Fernán Caballero	39.12474	-3.902586	Ciudad Real	Castilla La Mancha
ALCLM	CR307	Agudo	38.97897	-4.873152	Ciudad Real	Castilla La Mancha
ALCLM	CR308	Alcolea de Calatrava	38.98661	-4.115491	Ciudad Real	Castilla La Mancha
ALCLM	CR309	Cabezarados	38.84591	-4.297102	Ciudad Real	Castilla La Mancha
ALCLM	CR310	Pozuelo de Calatrava	38.91215	-3.837884	Ciudad Real	Castilla La Mancha
ALCLM	CR405	Torralba de Calatrava	39.01635	-3.750029	Ciudad Real	Castilla La Mancha
ALCLM	CR406	Membrilla	38.97219	-3.348246	Ciudad Real	Castilla La Mancha
ALCLM	CR407	Moral de Calatrava	38.8303	-3.580616	Ciudad Real	Castilla La Mancha
ALCLM	CR408	Villahermosa	38.75026	-2.871385	Ciudad Real	Castilla La Mancha
ALCLM	CR503	Alamillo	38.67694	-4.789592	Ciudad Real	Castilla La Mancha
ALCLM	CR504	Villamayor de Calatrava	38.78881	-4.138183	Ciudad Real	Castilla La Mancha
ALCLM	CR505	Brazatortas	38.66077	-4.296044	Ciudad Real	Castilla La Mancha
ALCLM	CR506	Aldea del Rey	38.73823	-3.839462	Ciudad Real	Castilla La Mancha
ALCLM	CR507	Fuencaliente	38.40664	-4.304459	Ciudad Real	Castilla La Mancha
ALCLM	CR508	Puertollano	38.68604	-4.112146	Ciudad Real	Castilla La Mancha
ALCLM	CR509	Solana del Pino	38.46677	-4.072587	Ciudad Real	Castilla La Mancha
ALCLM	CR510	Mestanza	38.57452	-4.071233	Ciudad Real	Castilla La Mancha
ALCLM	CR605	Torrenueva	38.64016	-3.362127	Ciudad Real	Castilla La Mancha
ALCLM	CR606	Villanueva de los Infantes	38.73712	-3.014678	Ciudad Real	Castilla La Mancha
ALCLM	CR608	Montiel	38.69634	-2.862144	Ciudad Real	Castilla La Mancha
ALCLM	CR610	Villamanrique	38.54818	-2.996742	Ciudad Real	Castilla La Mancha
ALCLM	CR611	Almuradiel	38.51264	-3.49485	Ciudad Real	Castilla La Mancha
ALCLM	CU104	Alcantud	40.54849	-2.332832	Cuenca	Castilla La Mancha
ALCLM	CU105	Castejón	40.38228	-2.519847	Cuenca	Castilla La Mancha
ALCLM	CU106	Cañaveras	40.35969	-2.398586	Cuenca	Castilla La Mancha
ALCLM	CU107	Barajas de Melo	40.12273	-2.915822	Cuenca	Castilla La Mancha
ALCLM	CU109	Huete	40.14595	-2.687307	Cuenca	Castilla La Mancha
ALCLM	CU202	Masegosa	40.54752	-2.02547	Cuenca	Castilla La Mancha
ALCLM	CU203	Arcos de la Sierra	40.3467	-2.112911	Cuenca	Castilla La Mancha
ALCLM	CU204	Tragacete	40.3511	-1.849956	Cuenca	Castilla La Mancha
ALCLM	CU205	Uña	40.22349	-1.979574	Cuenca	Castilla La Mancha
ALCLM	CU206	Zafrilla	40.19435	-1.618136	Cuenca	Castilla La Mancha
ALCLM	CU300	Cuenca	40.07183	-2.134005	Cuenca	Castilla La Mancha
ALCLM	CU310	Abia de la Obispalía	40.01885	-2.39605	Cuenca	Castilla La Mancha
ALCLM	CU311	Horcajo de Santiago	39.84166	-3.001539	Cuenca	Castilla La Mancha
ALCLM	CU312	Zafra de Záncara	39.89165	-2.555295	Cuenca	Castilla La Mancha
ALCLM	CU313	Saelices	39.91949	-2.803459	Cuenca	Castilla La Mancha
ALCLM	CU314	Belmontejo	39.82042	-2.344961	Cuenca	Castilla La Mancha
ALCLM	CU315	Hontanaya	39.71698	-2.833314	Cuenca	Castilla La Mancha
ALCLM	CU405	Valdemorillo de la Sierra	40.03857	-1.779921	Cuenca	Castilla La Mancha
ALCLM	CU406	Alcalá de la Vega	40.02644	-1.525031	Cuenca	Castilla La Mancha
ALCLM	CU407	Reíllo	39.90438	-1.873556	Cuenca	Castilla La Mancha
ALCLM	CU408	Moya	39.94834	-1.365402	Cuenca	Castilla La Mancha
ALCLM	CU409	Cardenete	39.76665	-1.692981	Cuenca	Castilla La Mancha
ALCLM	CU505	Mota del Cuervo	39.50294	-2.873104	Cuenca	Castilla La Mancha
ALCLM	CU506	Buenache de Alarcón	39.65448	-2.160121	Cuenca	Castilla La Mancha
ALCLM	CU507	Las Pedroñeras	39.4494	-2.680383	Cuenca	Castilla La Mancha
ALCLM	CU508	San Clemente	39.40189	-2.424473	Cuenca	Castilla La Mancha
ALCLM	CU604	Mira	39.71872	-1.43896	Cuenca	Castilla La Mancha
ALCLM	CU605	Alarcón	39.54623	-2.083503	Cuenca	Castilla La Mancha
ALCLM	CU606	Campillo de Altobuey	39.61043	-1.795945	Cuenca	Castilla La Mancha
ALCLM	CU607	Casas de Benítez	39.36133	-2.130932	Cuenca	Castilla La Mancha
ALCLM	CU608	Minglanilla	39.53357	-1.600453	Cuenca	Castilla La Mancha
ALCLM	CU609	Villagarcía del Llano	39.32651	-1.846456	Cuenca	Castilla La Mancha
ALCLM	GU105	Miedes de Atienza	41.2667	-2.964246	Guadalajara	Castilla La Mancha
ALCLM	GU106	Sienes	41.2002	-2.653532	Guadalajara	Castilla La Mancha
ALCLM	GU107	Galve de Sorbe	41.22248	-3.183245	Guadalajara	Castilla La Mancha
ALCLM	GU108	Sigüenza	41.0696	-2.642236	Guadalajara	Castilla La Mancha
ALCLM	GU109	Bustares	41.13528	-3.072989	Guadalajara	Castilla La Mancha
ALCLM	GU110	Alcolea del Pinar	41.03577	-2.467304	Guadalajara	Castilla La Mancha
ALCLM	GU111	Robledo de Corpes	41.11815	-2.950481	Guadalajara	Castilla La Mancha
ALCLM	GU112	Matillas	40.95211	-2.842353	Guadalajara	Castilla La Mancha
ALCLM	GU113	La Toba	41.00427	-2.981962	Guadalajara	Castilla La Mancha
ALCLM	GU203	Villel de Mesa	41.12617	-1.989027	Guadalajara	Castilla La Mancha
ALCLM	GU204	La Yunta	40.91481	-1.683895	Guadalajara	Castilla La Mancha
ALCLM	GU205	Maranchón	41.04764	-2.20504	Guadalajara	Castilla La Mancha
ALCLM	GU308	Guadalajara	40.62981	-3.166493	Guadalajara	Castilla La Mancha
ALCLM	GU309	Cogolludo	40.94699	-3.088776	Guadalajara	Castilla La Mancha
ALCLM	GU310	Abádanes	40.893889	-2.483889	Guadalajara	Castilla La Mancha
ALCLM	GU311	Valdepeñas de la Sierra	40.90821	-3.387443	Guadalajara	Castilla La Mancha
ALCLM	GU312	Ledanca	40.86851	-2.843731	Guadalajara	Castilla La Mancha
ALCLM	GU313	Humanes	40.82745	-3.155397	Guadalajara	Castilla La Mancha
ALCLM	GU314	Brihuega	40.75965	-2.870508	Guadalajara	Castilla La Mancha
ALCLM	GU315	Casar de Talamanca	40.703333	-3.426389	Guadalajara	Castilla La Mancha
ALCLM	GU316	Trillo	40.70134	-2.593588	Guadalajara	Castilla La Mancha
ALCLM	GU317	Azuqueca de Henares	40.56503	-3.268549	Guadalajara	Castilla La Mancha
ALCLM	GU318	Peñalver	40.57995	-2.888909	Guadalajara	Castilla La Mancha
ALCLM	GU401	Molina de Aragón	40.84282	-1.882801	Guadalajara	Castilla La Mancha
ALCLM	GU407	Villanueva de Alcorón	40.67927	-2.252745	Guadalajara	Castilla La Mancha
ALCLM	GU408	Tordellego	40.72094	-1.669642	Guadalajara	Castilla La Mancha
ALCLM	GU410	Checa	40.58671	-1.789798	Guadalajara	Castilla La Mancha
ALCLM	GU505	Loranca de Tajuña	40.4469	-3.113948	Guadalajara	Castilla La Mancha
ALCLM	GU506	Auñón	40.51687	-2.791876	Guadalajara	Castilla La Mancha
ALCLM	GU507	Mondéjar	40.32302	-3.115048	Guadalajara	Castilla La Mancha
