id	pregunta	ortografia	afi
100	Guisantes	garavanzos	xʰaɾaˈβãnθos̺
100	Mariquita	pampurriña	pãmpuˈrĩɲɐ̃
100	Lagartija	lagartixa	laxʰaɾˈtiʃɐ
100	Aguzanieves	lavandeira	laβãnˈdɛjɾɐ
100	Cadera	cadril	kaˈðɾil
100	Cuna	berce	ˈbɛɾθe
100	Llevar a cuestas	as costas	as̺ ˈkɔs̺tɐs̺
100	Dar volteretas	revirar a forcadela	reβiˈɾal a ɸoɾkaˈðɛlɐ
100	Levadura	formento	foɾˈmẽnto
100	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
101	Cadera	cadeira	kaˈðɛjɾɐ
101	Guisantes	garavanzos	xʰaɾaˈβãnθos̺
101	Mariquita	rei	ˈrɛj
101	Lagartija	lagartuxa	lɑxʰaɾˈtuʃɐ̥
101	Aguzanieves	lavandeira	laβãnˈdɛjɾɐ
101	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
101	Cuna	berce	ˈbɛɾθe
101	Llevar a cuestas	levar ás costas	løˈβaɹ as̺ ˈkɔs̺tɐs̺
101	Dar volteretas	virar a forcadela	biˈɾal a ɸoɾkaˈðɛlɐ
101	Levadura	fermento	feɾˈmẽnto
102	Guisantes	garvanzos	ɡaɾˈβãnθos̺
102	Mariquita	rei	ˈrɛj
102	Lagartija	lagartiña	laɣaɾˈtĩɲã
102	Aguzanieves	lavandeira	laβãnˈdɛjɾɐ
102	Jabalí	porco bravo	ˈpɔɾko ˈβɾaβo
102	Cadera	cadeira	kaˈðɛjɾa
102	Cuna	berce	ˈbɛɾθe
102	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
102	Dar volteretas	dar pinchacarneiros	ˈdaɹ ˈpĩɲt͡ʃakaɾˈnɛ̃jɾos̺
102	Levadura	fermento	ɸeɾˈmɛ̃nto
102	Guisantes	tirabeques	tiɾaˈβɛkes̺
103	Cadera	cadera	kaˈðɛɾa
103	Guisantes	ervellas	eɾˈβeʎæs̺
103	Mariquita	rei	ˈrɛj
103	Lagartija	lagarta	laˈxɑɾtɐ
103	Aguzanieves	lavandeira	laβãnˈdɛjɹɐ
103	Jabalí	cocho bravo	ˈkɔt͡ʃo ˈβɾaβo
103	Cuna	berce	ˈbɛɾθə
103	Llevar a cuestas	levar ao lombo	leˈβaɹ ɔ ˈlõmβo
103	Dar volteretas	dar pinchacarneiros	ˈdaɾ pĩɲt͡ʃakaɾˈnẽjɹos̺
103	Levadura	fermento	ɸoɾˈmẽnto
103	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tas̺
104	Cadera	cadeira	kaˈðejɹɐ
104	Guisantes	garavanzos	xaɾaˈβãnθos̺
104	Mariquita	costureira	kus̺tuˈɾɛjɹɐ
104	Lagartija	NA	NA
104	Aguzanieves	lavandeira	laβãnˈdɛjɹɐ
104	Jabalí	jabalín	xɑβɘˈlĩŋ
104	Cuna	berce	ˈbɛɾθə
104	Llevar a cuestas	levar ás costas	leˈβaɹ as̺ ˈkɔs̺tɐs̺
104	Dar volteretas	dar pinchacarneiros	ˈdaɹ pĩɲt͡ʃakaɾˈnɛ̃jɹos̺
104	Levadura	felmento	felˈmẽnto
104	Guisantes	chícharos	ˈt͡ʃit͡ʃɐɾos̺
105	Guisantes	garavanzos	xaɾɐˈβãnθos̺
105	Mariquita	rei	ˈrɛj
105	Lagartija	lagartixa	laɣaɾˈtiʃɐ
105	Aguzanieves	lavandeira	laβãnˈdejɾɐ
