atlas	provincia	poblacion	latitud	longitud	id	F_inicial	cl_inter
ALEARN	Burgos	Bugedo	42.649167	-3.017778	BU400	li	x
ALEARN	Burgos	Bugedo	42.734722	-2.747222	BU400	li	x
ALEARN	Castellón	Arañuel	40.0711	-0.4817952	CS300	li	x
ALEARN	Castellón	Segorbe	39.85328	-0.4849939	CS301	ø	x
ALEARN	Castellón	Bejís	39.91087	-0.7038683	CS302	ø	x
ALEARN	Cuenca	Valdemeca	40.22374	-1.741087	CU200	NA	NA
ALEARN	Cuenca	Santa Cruz de Moya	39.95631	-1.258873	CU400	ø	x
ALEARN	Guadalajara	Tortuera	40.9715	-1.798782	GU200	NA	NA
ALEARN	Guadalajara	Orea	41	-1.726111	GU400	ø	x
ALEARN	Huesca	Sallent de Gállego	42.77204	-0.3347842	HU100	θ	x
ALEARN	Huesca	Ansó	42.75754	-0.8281171	HU101	θ	ʎ
ALEARN	Huesca	Echo	42.738889	-0.750278	HU102	θ	ʎ
ALEARN	Huesca	Canfranc	42.71557	-0.5256487	HU103	ø	x
ALEARN	Huesca	Aragüés del Puerto	42.70673	-0.6700809	HU104	x	x
ALEARN	Huesca	Berdún	42.603333	-0.858611	HU105	θ	x
ALEARN	Huesca	Broto	42.60481	-0.1235453	HU106	θ	x
ALEARN	Huesca	Jaca	42.57101	-0.5494531	HU107	θ	x
ALEARN	Huesca	Bailo	42.51	-0.8113827	HU108	NA	NA
ALEARN	Huesca	Yebra de Basa	42.48631	-0.2820295	HU109	θ	x
ALEARN	Huesca	Lasieso	42.4239	-0.436542	HU110	θ	x
ALEARN	Huesca	Laguarta	42.41392	-0.119137	HU111	θ	x
ALEARN	Huesca	Agüero	42.35485	-0.7945753	HU112	θ	x
ALEARN	Huesca	Bielsa	42.6338	0.2184766	HU200	NA	NA
ALEARN	Huesca	Benasque	42.60514	0.5239731	HU201	f	ʎ
ALEARN	Huesca	Gistaín	42.59116	0.3360597	HU202	θ	x
ALEARN	Huesca	Fanlo	42.58699	-0.0211814	HU203	θ	x
ALEARN	Huesca	Laspuña	42.50342	0.1536913	HU204	f	x
ALEARN	Huesca	Noales	42.458579	0.662779	HU205	f	ʎ
ALEARN	Huesca	Aínsa	42.417222	0.1375	HU206	θ	x
ALEARN	Huesca	Campo	42.40875	0.3940125	HU207	f	ʎ
ALEARN	Huesca	Bolea	42.2603	-0.551389	HU300	θ	x
ALEARN	Huesca	Huesca	42.1401	-0.408898	HU301	θ	x
ALEARN	Huesca	Angüés	42.11126	-0.153561	HU302	θ	x
ALEARN	Huesca	Almudévar	42.03736	-0.5796334	HU303	ø	x
ALEARN	Huesca	Aberuela de Tubo	41.909444	0.213056	HU304	θ	x
ALEARN	Huesca	Robres	41.86637	-0.4609118	HU305	ø	x
ALEARN	Huesca	Santaliestra y San Quílez	42.306944	0.364444	HU400	θ	x
ALEARN	Huesca	La Puebla de Roda	42.302778000000004	0.542222	HU401	f	ʎ
ALEARN	Huesca	Arén	42.25887	0.7209243	HU402	f	ʎ
ALEARN	Huesca	La Puebla de Castro	42.144444	0.2875	HU403	θ	x
ALEARN	Huesca	Tolva	42.11551	0.56399	HU404	θ	ʎ
ALEARN	Huesca	Pozán de Vero	42.08028	0.0336244	HU405	θ	x
ALEARN	Huesca	Azanuy	41.9726	0.31096	HU406	f	ʎ
ALEARN	Huesca	Pueyo	42.56591	-1.647855	HU407	f	x
ALEARN	Huesca	Albelda	41.86542	0.4611521	HU408	f	ʎ
ALEARN	Huesca	Pallaruelo de Monegros	41.704722	0.208889	HU500	θ	x
ALEARN	Huesca	Santalecina	41.779444	0.115556	HU600	f	x
ALEARN	Huesca	Chalamera	41.66556	0.1619226	HU601	f	x
ALEARN	Huesca	Fraga	41.52243	0.3489263	HU602	f	ʎ
ALEARN	Huesca	Candasnos	41.502087	0.062167	HU603	f	x
ALEARN	Logroño	Casalarreina	42.54792	-2.913199	LO100	NA	x
ALEARN	Logroño	San Asensio	42.49755	-2.748897	LO101	li	x
ALEARN	Logroño	Tormantos	42.49433	-3.074003	LO102	NA	NA
ALEARN	Logroño	Logroño	42.46577	-2.449995	LO103	li	x
ALEARN	Logroño	Alesanco	42.41421	-2.8169	LO300	li	x
ALEARN	Logroño	Albelda	42.3575	-2.472778	LO301	li	x
ALEARN	Logroño	Valgañón	42.31764	-3.06729	LO302	NA	NA
ALEARN	Logroño	Tobía	42.298056	-2.815278	LO303	NA	NA
ALEARN	Logroño	Torrecilla en Cameros	42.256111	-2.630278	LO304	li	x
ALEARN	Logroño	San Román de Cameros	42.232222	-2.473889	LO305	li	x
ALEARN	Logroño	El Villar	42.136389	-2.242222	LO400	ø	x
ALEARN	Logroño	Galilea	42.34824	-2.235826	LO401	li	x
ALEARN	Logroño	Canales	42.141111	-3.024167	LO500	li	x
ALEARN	Logroño	Viniegra de Arriba	42.09575	-2.834686	LO501	NA	NA
ALEARN	Logroño	Lumbreras	42.105	-2.62399	LO502	NA	NA
ALEARN	Logroño	Autol	42.21553	-2.006565	LO600	li	x
ALEARN	Logroño	Herce	42.214167	-2.164722	LO601	ø	x
