anno	rey	palabra	lema	eagle	universal
1991	Juan Carlos I	Es	ser	VSIP3S0	AUX
1991	Juan Carlos I	costumbre	costumbre	NCFS000	SUST
1991	Juan Carlos I	en	en	SPS00	PREP
1991	Juan Carlos I	estos	este	DD0MP0	DET
1991	Juan Carlos I	tradicionales	tradicional	AQ0CP0	ADJ
1991	Juan Carlos I	mensajes	mensaje	NCMP000	SUST
1991	Juan Carlos I	de	de	SPS00	PREP
1991	Juan Carlos I	la	el	DA0FS0	DET
1991	Juan Carlos I	navidad	navidad	NCFS000	SUST
1991	Juan Carlos I	,	,	Fc	PUNT
1991	Juan Carlos I	hacer	hacer	VMN0000	VERB
1991	Juan Carlos I	un	uno	DI0MS0	DET
1991	Juan Carlos I	resumen	resumen	NCMS000	SUST
1991	Juan Carlos I	de	de	SPS00	PREP
1991	Juan Carlos I	los	el	DA0MP0	DET
1991	Juan Carlos I	acontecimientos	acontecimiento	NCMP000	SUST
1991	Juan Carlos I	más	más	RG	ADV
1991	Juan Carlos I	importantes	importante	AQ0CP0	ADJ
1991	Juan Carlos I	ocurridos	ocurrir	VMP00PM	VERB
1991	Juan Carlos I	durante	durante	SPS00	PREP
1991	Juan Carlos I	el	el	DA0MS0	DET
1991	Juan Carlos I	año	año	NCMS000	SUST
1991	Juan Carlos I	que	que	PR0CN000	PRON
1991	Juan Carlos I	está	estar	VAIP3S0	AUX
1991	Juan Carlos I	a_punto_de	a_punto_de	SPS00	PREP
1991	Juan Carlos I	terminar	terminar	VMN0000	VERB
1991	Juan Carlos I	.	.	Fp	PUNT
1991	Juan Carlos I	Pero	pero	CC	CC
1991	Juan Carlos I	tal_vez	tal_vez	RG	ADV
1991	Juan Carlos I	su	su	DP3CS0	DET
1991	Juan Carlos I	enumeración	enumeración	NCFS000	SUST
1991	Juan Carlos I	y	y	CC	CC
1991	Juan Carlos I	análisis	análisis	NCMN000	SUST
1991	Juan Carlos I	alargarían	alargar	VMIC3P0	VERB
1991	Juan Carlos I	excesivamente	excesivamente	RG	ADV
1991	Juan Carlos I	unas	uno	DI0FP0	DET
1991	Juan Carlos I	palabras	palabra	NCFP000	SUST
1991	Juan Carlos I	que	que	PR0CN000	PRON
1991	Juan Carlos I	desearía	desear	VMIC3S0	VERB
1991	Juan Carlos I	fueran	ser	VSSI3P0	AUX
1991	Juan Carlos I	tan	tan	RG	ADV
1991	Juan Carlos I	afectuosas	afectuoso	AQ0FP0	ADJ
1991	Juan Carlos I	como	como	CS	CS
1991	Juan Carlos I	breves	breve	AQ0CP0	ADJ
1991	Juan Carlos I	para	para	SPS00	PREP
1991	Juan Carlos I	no	no	RN	RN
1991	Juan Carlos I	perturbar	perturbar	VMN0000	VERB
1991	Juan Carlos I	unos	uno	DI0MP0	DET
1991	Juan Carlos I	momentos	momento	NCMP000	SUST
1991	Juan Carlos I	de	de	SPS00	PREP
1991	Juan Carlos I	intimidad	intimidad	NCFS000	SUST
1991	Juan Carlos I	y	y	CC	CC
1991	Juan Carlos I	calor	calor	NCMS000	SUST
1991	Juan Carlos I	familiar	familiar	AQ0CS0	ADJ
1991	Juan Carlos I	,	,	Fc	PUNT
1991	Juan Carlos I	cuando	cuando	CS	CS
1991	Juan Carlos I	los	el	DA0MP0	DET
1991	Juan Carlos I	españoles	español	NCMP000	SUST
1991	Juan Carlos I	nos	nos	PP1CP000	PRON
