Nº	Códice	Fecha Inicio Códice	Fecha Fin Códice	Lugar	Copista/Impresor	Biblioteca	Obra	Fecha Inicio Obra	Fecha Fin Obra	Título	Autor	Traductor	Folio	Contexto previo	Término Buscado <Lema> [Etiqueta]	Contexto posterior
1	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		8r-a(21)	el rey gelas enbio & del presente que el cid al rey enbio con aluar	hañez <Fáñez> [NP000P0]	 su primo capitulo setenta & cinco de como aluar hañez llego conel presente al rey
2	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		8r-a(22)	al rey enbio con aluar hañez su primo capitulo setenta & cinco de como aluar	hañez <Fáñez> [NP000P0]	 llego conel presente al rey don alfonso & de como fue del rey rescebido capitulo
3	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		95r-a(37)	al santo padre su enbaxada solene enla qual fueron el conde don rodrigo & aluar	hañez <Fáñez> [NP000P0]	 minaya L iiij & otros caualleros & letrados quedando el en tolosa donde queria continuar
4	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		97v-a(17)	para alla mouiese con su gente enbiolo a desafiar & fue el mensaiero don aluar	hañez <Fáñez> [NP000P0]	 primo del cid con el qual le enbio dezir quele dexase el reyno en otra
5	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		97v-a(18)	quele dexase el reyno en otra manera que gelo tomaria por fuerça & don aluar	hañez <Fáñez> [NP000P0]	 aun que muncho le pesaua ouo de fazer el mandado de su señor & quando
6	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		97v-a(21)	enoio de auer seido quebrantado el iuramento que auie fecho & dixo a don aluar	hañez <Fáñez·PUNCT> [NP000P0·PUNCT]	 dezid ami hermano que no quiera pasar la iura que fizo a nuestro padre &
7	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		97v-a(23)	nuestro padre & quando el al quesiere yo trabaiare de me defender & don aluar	hañez <Fáñez> [NP000P0]	 se boluio al rey don sancho & luego el rey don garcia enbio vn cauallero
8	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		98v-a(10)	ellos respondieron quelo no farian por ninguna cosa & estando enestas palabras llego don aluar	hañez <Fáñez> [NP000P0]	 minaya aquien el rey auia dado cauallo & armas & dixo alos caualleros que tenian
9	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		109r-a(22)	nos quisiere enel canpo nos fallara y esa noche el cid mando a don aluar	hañez <Fáñez> [NP000P0]	 que caualgase con dozientos caualleros & corriese a hita y guadalaiara y alcala y el
10	CDE	1482	1482	Sevilla	Alonso del Puerto	Madrid: Biblioteca Nacional de España  [INC/1732]	HSMS-0451-0001	1479-06-23 a quo	1481-06-23 ad quem	Crónica de España	Diego de Valera		109r-a(24)	a hita y guadalaiara y alcala y el espero al pie dela sierra & aluar	hañez <Fáñez> [NP000P0]	 lo fizo asi & tomo vna gran presa & luego que los moros abrieron el
