Nº	Códice	Fecha Inicio Códice	Fecha Fin Códice	Lugar	Copista/Impresor	Biblioteca	Obra	Fecha Inicio Obra	Fecha Fin Obra	Título	Autor	Traductor	Folio	Contexto previo	Término Buscado <Lema> [Etiqueta]	Contexto posterior
1	C03	1501	1501	Sevilla	Estanislao Polono	París: Bibliothèque Nationale de France  [Tolbiac Rez-de-jardin: RES-YG-63]	HSMS-0247-0001	1496 a quo	1499 ad quem	Comedia de Calisto y Melibea	Fernando de Rojas		6r-a(9)	que en si no tiene orden ni consejo Sempronio ha ha ha esto es el	huego <fuego> [NCMS000]	 de calisto Estas son sus congoxas Como si solamente el amor contra el asestara sus
2	C03	1501	1501	Sevilla	Estanislao Polono	París: Bibliothèque Nationale de France  [Tolbiac Rez-de-jardin: RES-YG-63]	HSMS-0247-0001	1496 a quo	1499 ad quem	Comedia de Calisto y Melibea	Fernando de Rojas		13v-a(18)	iesu iesu iesu & tu eres parmeno hijo dela claudina Parmeno alahe yo Celestina pues	huego <fuego> [NCMS000]	 malo te queme que tan puta vieja era tu madre como yo porque me persigues
3	C03	1501	1501	Sevilla	Estanislao Polono	París: Bibliothèque Nationale de France  [Tolbiac Rez-de-jardin: RES-YG-63]	HSMS-0247-0001	1496 a quo	1499 ad quem	Comedia de Calisto y Melibea	Fernando de Rojas		60v-a(22)	morir & no tornaras a viuificar mi esperança para que tuuiesse mas que gastar el	huego <fuego> [NCMS000]	 que ya me aquexa Porque falsaste la palabra desta mi señora porque has assi dado
4	C03	1501	1501	Sevilla	Estanislao Polono	París: Bibliothèque Nationale de France  [Tolbiac Rez-de-jardin: RES-YG-63]	HSMS-0247-0001	1496 a quo	1499 ad quem	Comedia de Calisto y Melibea	Fernando de Rojas		61v-a(17)	voluntad lo pudiera cosa estoruar O molestas y enojosas puertas ruego a dios que tal	huego <fuego> [NCMS000]	 os abrase como a mi da guerra que con la tercia parte seriades en vn
5	C03	1501	1501	Sevilla	Estanislao Polono	París: Bibliothèque Nationale de France  [Tolbiac Rez-de-jardin: RES-YG-63]	HSMS-0247-0001	1496 a quo	1499 ad quem	Comedia de Calisto y Melibea	Fernando de Rojas		68v-a(20)	tal cosa de ninguno que hombre sea Mayor mente amando como yo nadando por este	huego <fuego> [NCMS000]	 de tu desseo toda mi vida no quieres que me arrime al dulce puerto a
6	C03	1501	1501	Sevilla	Estanislao Polono	París: Bibliothèque Nationale de France  [Tolbiac Rez-de-jardin: RES-YG-63]	HSMS-0247-0001	1496 a quo	1499 ad quem	Comedia de Calisto y Melibea	Fernando de Rojas		74v-a(9)	hijos la vengança delos padres ni se si hieres con hierro ni si quemas con	huego <fuego·PUNCT> [NCMS000·PUNCT]	 sana dexas la ropa lastimas el coraçon hazes que feo amen y hermoso les parezca
7	C03	1501	1501	Sevilla	Estanislao Polono	París: Bibliothèque Nationale de France  [Tolbiac Rez-de-jardin: RES-YG-63]	HSMS-0247-0001	1496 a quo	1499 ad quem	Comedia de Calisto y Melibea	Fernando de Rojas		74v-a(32)	que jamas sienten ni veen el desabrido galardon que se saca de tu seruicio Tu	huego <fuego> [NCMS000]	 es de ardiente rayo que jamas haze señal do llega La leña que gasta tu
8	GMA	1501	1501	Lisboa	Valentín Fernández	Londres: The British Library  [C.20.e.19]	HSMS-0357-0001	1501-04-10 ad quem	1501-04-10 ad quem	Glosa famosísima sobre las coplas de don Jorge Manrique	Alonso de Cervantes		7r-a(6)	a gran priessa syn sosiego veese todo corrompido pues nos quema la trauiesa con su	huego <fuego> [NCMS000]	 a dezidme la hermosura la gentil frescura y tez dela cara quanto poco tal nos
9	GMA	1501	1501	Lisboa	Valentín Fernández	Londres: The British Library  [C.20.e.19]	HSMS-0357-0002	1476-11-11	1479-04-24	Coplas por la muerte de su padre	Jorge Manrique		8v-a(2)	la muerte de su padre. a Pero digo que acompañen y lleguen hasta la	huessa <fosa> [NCFS000]	 con su dueño b por esso no nos engañen que se va la vida apriessa
10	GMA	1501	1501	Lisboa	Valentín Fernández	Londres: The British Library  [C.20.e.19]	HSMS-0357-0001	1501-04-10 ad quem	1501-04-10 ad quem	Glosa famosísima sobre las coplas de don Jorge Manrique	Alonso de Cervantes		8v-a(8)	syn valernos quien seguimos las dexamos a pero digo que acompañen y lleguen hasta la	huessa <fosa> [NCFS000]	 con su dueño por que nunca mas nos dañen mostremos les la cara auiesa con
