speech	president	year	years_active	party	sotu_type
1	George Washington	1790	1789-1793	Nonpartisan	speech
2	George Washington	1790	1789-1793	Nonpartisan	speech
3	George Washington	1791	1789-1793	Nonpartisan	speech
4	George Washington	1792	1789-1793	Nonpartisan	speech
5	George Washington	1793	1793-1797	Nonpartisan	speech
6	George Washington	1794	1793-1797	Nonpartisan	speech
7	George Washington	1795	1793-1797	Nonpartisan	speech
8	George Washington	1796	1793-1797	Nonpartisan	speech
9	John Adams	1797	1797-1801	Federalist	speech
10	John Adams	1798	1797-1801	Federalist	speech
11	John Adams	1799	1797-1801	Federalist	speech
12	John Adams	1800	1797-1801	Federalist	speech
13	Thomas Jefferson	1801	1801-1805	Democratic-Republican	written
14	Thomas Jefferson	1802	1801-1805	Democratic-Republican	written
15	Thomas Jefferson	1803	1801-1805	Democratic-Republican	written
16	Thomas Jefferson	1804	1801-1805	Democratic-Republican	written
17	Thomas Jefferson	1805	1805-1809	Democratic-Republican	written
18	Thomas Jefferson	1806	1805-1809	Democratic-Republican	written
19	Thomas Jefferson	1807	1805-1809	Democratic-Republican	written
20	Thomas Jefferson	1808	1805-1809	Democratic-Republican	written
21	James Madison	1809	1809-1813	Democratic-Republican	written
22	James Madison	1810	1809-1813	Democratic-Republican	written
23	James Madison	1811	1809-1813	Democratic-Republican	written
24	James Madison	1812	1809-1813	Democratic-Republican	written
25	James Madison	1813	1813-1817	Democratic-Republican	written
26	James Madison	1814	1813-1817	Democratic-Republican	written
27	James Madison	1815	1813-1817	Democratic-Republican	written
28	James Madison	1816	1813-1817	Democratic-Republican	written
29	James Monroe	1817	1817-1821	Democratic-Republican	written
30	James Monroe	1818	1817-1821	Democratic-Republican	written
31	James Monroe	1819	1817-1821	Democratic-Republican	written
32	James Monroe	1820	1817-1821	Democratic-Republican	written
33	James Monroe	1821	1821-1825	Democratic-Republican	written
34	James Monroe	1822	1821-1825	Democratic-Republican	written
35	James Monroe	1823	1821-1825	Democratic-Republican	written
36	James Monroe	1824	1821-1825	Democratic-Republican	written
37	John Quincy Adams	1825	1825-1829	Democratic-Republican	written
38	John Quincy Adams	1826	1825-1829	Democratic-Republican	written
39	John Quincy Adams	1827	1825-1829	Democratic-Republican	written
40	John Quincy Adams	1828	1825-1829	Democratic-Republican	written
41	Andrew Jackson	1829	1829-1833	Democratic	written
42	Andrew Jackson	1830	1829-1833	Democratic	written
43	Andrew Jackson	1831	1829-1833	Democratic	written
44	Andrew Jackson	1832	1829-1833	Democratic	written
45	Andrew Jackson	1833	1833-1837	Democratic	written
46	Andrew Jackson	1834	1833-1837	Democratic	written
47	Andrew Jackson	1835	1833-1837	Democratic	written
48	Andrew Jackson	1836	1833-1837	Democratic	written
49	Martin Van Buren	1837	1837-1841	Democratic	written
50	Martin Van Buren	1838	1837-1841	Democratic	written
51	Martin Van Buren	1839	1837-1841	Democratic	written
